"","date_flown","aircraft_type","country","type_of_travellers","departing_dest","layover","arriving_dest","seat_types","seat_comfort","cabin_staff_service","ground_service","food_beverages","wifi_connectivity","inflight_entertainment","value_for_money","recommended"
"534","Mar-20",NA,"United States","Couple Leisure","Chicago","Miami","Seville","Economy Class",NA,NA,NA,NA,NA,NA,1,"no"
"535","Apr-20","Airbus A350","United Kingdom","Solo Leisure","London",NA,"Tel Aviv","Premium Economy",NA,NA,NA,NA,NA,NA,1,"no"
"536","Dec-19",NA,"United States","Couple Leisure","San Diego","London","Barcelona","Business Class",NA,NA,NA,NA,NA,NA,1,"no"
"537","May-20",NA,"Canada","Solo Leisure","Toronto",NA,"London","Economy Class",NA,NA,NA,NA,NA,NA,1,"no"
"538","Mar-20",NA,"United Kingdom","Family Leisure","Tokyo",NA,"London","Premium Economy",3,2,2,1,NA,3,1,"no"
"539","Mar-20",NA,"United States","Couple Leisure","Los Angeles","London","Paris","Economy Class",3,3,5,2,NA,3,1,"no"
"540","Feb-20","Airbus A350","United Kingdom","Couple Leisure","London Heathrow",NA,"Toronto ","Business Class",5,5,5,5,NA,5,5,"yes"
"541","Feb-20","Boeing 747-400","United Kingdom","Couple Leisure","Las Vegas",NA,"London Heathrow ","Business Class",5,5,5,5,NA,2,5,"yes"
"542","Mar-20",NA,"United Kingdom","Solo Leisure","Sydney","Singapore","London","Economy Class",1,1,1,1,1,2,1,"no"
"543","Apr-20",NA,"Switzerland","Business","Zurich",NA,"London","Economy Class",NA,NA,NA,NA,NA,NA,1,"no"
"544","Feb-20",NA,"United Kingdom","Couple Leisure","Vienna",NA,"London","Business Class",3,3,3,NA,NA,NA,1,"no"
"545","Mar-20","Airbus A321neo","Poland","Solo Leisure","London Heathrow",NA,"Warsaw","Economy Class",5,5,4,NA,NA,NA,3,"yes"
"546","Mar-20",NA,"United Kingdom","Business","Johannesburg",NA,"London","Economy Class",2,3,1,2,1,1,2,"no"
"547","Apr-20",NA,"United Kingdom","Business","London",NA,"Stockholm","Economy Class",NA,NA,1,NA,NA,NA,1,"no"
"548","Mar-20",NA,"United Kingdom","Solo Leisure","London",NA,"Budapest","Economy Class",NA,NA,NA,NA,NA,NA,1,"no"
"549","Mar-20","Boeing 747","United Kingdom","Solo Leisure","Nashville","Chicago","London","Business Class",3,5,3,4,NA,NA,1,"no"
"550","Mar-20",NA,"United Kingdom","Solo Leisure","Vancouver",NA,"London","Economy Class",NA,NA,1,NA,NA,NA,1,"no"
"551","Aug-19",NA,"United Kingdom","Family Leisure","London",NA,"Marrakesh","Economy Class",NA,NA,NA,NA,NA,NA,1,"no"
"552","Mar-20","Boeing 777","United States","Couple Leisure","Seattle",NA,"Heathrow","Economy Class",NA,NA,NA,NA,NA,NA,5,"no"
"553","Mar-20",NA,"United Kingdom","Couple Leisure","Mumbai",NA,"London Heathrow","Premium Economy",5,5,5,4,NA,2,5,"yes"
"554","Mar-20",NA,"United Kingdom","Business","London",NA,"Valencia","Economy Class",NA,NA,NA,NA,NA,NA,1,"no"
"555","Mar-20",NA,"United Kingdom","Couple Leisure","London Gatwick",NA,"Funchal","Economy Class",1,4,1,NA,NA,NA,1,"no"
"556","Mar-20","Boeing 747-400","United Kingdom","Business","Chicago",NA,"London Heathrow","Business Class",1,1,1,1,1,1,1,"no"
"557","Feb-20","Boeing 747-400","United Kingdom","Business","London",NA,"New York JFK","Business Class",1,1,1,1,1,1,1,"no"
"558","Mar-20",NA,"United Kingdom","Solo Leisure","London",NA,"Madrid","Economy Class",NA,NA,NA,NA,NA,NA,1,"no"
"559","Oct-19",NA,"Argentina","Business","Frankfurt","London","Buenos Aires","Economy Class",2,3,1,3,NA,2,1,"no"
"560","Mar-20",NA,"United Kingdom","Business","London",NA,"Paris CDG","Business Class",NA,NA,NA,NA,NA,NA,1,"no"
"561","Mar-20",NA,"Germany","Couple Leisure","London City",NA,"Berlin","Economy Class",NA,NA,1,NA,NA,NA,1,"no"
"562","Jan-20","Boeing 787","United Kingdom","Solo Leisure","London",NA,"Beijing","Economy Class",3,5,4,4,NA,5,4,"yes"
"563","Jan-20","Airbus A380","Hong Kong","Family Leisure","Hong Kong",NA,"London","Economy Class",5,5,5,5,NA,3,5,"yes"
"564","Mar-20","Boeing 777-200","United Kingdom","Couple Leisure","Mumbai",NA,"London","Economy Class",4,5,5,5,NA,4,5,"yes"
"565","Feb-20","Boeing 777-200","United Kingdom","Couple Leisure","London",NA,"Delhi","Economy Class",4,5,2,5,NA,4,4,"yes"
"566","Feb-20","Airbus A319","United Kingdom","Business","Paris",NA,"London","Business Class",1,4,1,NA,NA,NA,1,"no"
"567","Feb-20",NA,"Australia","Solo Leisure","Singapore",NA,"London","Economy Class",3,3,1,3,NA,3,1,"no"
"568","Feb-20",NA,"United Kingdom","Solo Leisure","Gatwick",NA,"Malaga","Economy Class",2,3,3,1,NA,NA,3,"no"
"569","Feb-20","Boeing 747-400","United Kingdom","Solo Leisure","Vancouver",NA,"London","Premium Economy",4,5,4,5,NA,5,5,"yes"
"570","Feb-20","Boeing 787","United Kingdom","Business","London",NA,"Seattle","Business Class",NA,NA,NA,NA,NA,NA,1,"no"
"571","Feb-20","Boeing 777","United Kingdom","Solo Leisure","London Heathrow",NA,"Nairobi","First Class",3,5,2,1,NA,3,3,"no"
"572","Feb-20",NA,"United States","Couple Leisure","Dubai",NA,"London","Premium Economy",1,1,1,1,NA,NA,1,"no"
"573","Feb-20",NA,"United States","Couple Leisure","London",NA,"Cape Town","Business Class",4,2,3,1,NA,3,3,"no"
"574","Feb-20","Boeing 787","United Kingdom","Solo Leisure","Rio de Janeiro",NA,"London ","Economy Class",1,3,1,1,NA,1,2,"no"
"575","Feb-20",NA,"South Africa","Solo Leisure","Johannesburg","London","Dublin","Economy Class",1,1,1,NA,NA,NA,1,"no"
"576","Feb-20","Boeing 747-400","United States","Couple Leisure","Las Vegas","London","Paris","Business Class",1,4,4,3,NA,1,1,"no"
"577","Jan-20","Airbus A320","United Kingdom","Couple Leisure","Geneva",NA,"Gatwick","Economy Class",NA,NA,1,NA,NA,NA,1,"no"
"578","Jan-20",NA,"Mexico","Solo Leisure","Mexico City","London","Manchester","Economy Class",5,5,5,4,NA,5,4,"yes"
"579","Oct-19","Airbus A321","United Kingdom","Solo Leisure","London Heathrow",NA,"Sofia","Business Class",4,4,5,4,2,NA,4,"yes"
"580","Jul-19",NA,"Australia","Solo Leisure","Manchester","London","Melbourne","Economy Class",2,3,1,2,NA,NA,1,"no"
"581","Jan-20","Airbus A321neo","United Kingdom","Business","Madrid",NA,"London ","Business Class",2,3,3,2,1,1,2,"no"
"582","Jan-20","Airbus A320","Australia","Family Leisure","Prague",NA,"London","Economy Class",5,5,3,NA,3,NA,5,"yes"
"583","Jan-20","Airbus A380-800","United Kingdom","Couple Leisure","Johannesburg",NA,"London","Business Class",3,4,3,3,NA,3,3,"yes"
"584","Jan-20","Boeing 777-200","United Kingdom","Business","Las Vegas",NA,"Gatwick","Business Class",2,2,4,2,NA,4,1,"no"
"585","Jan-20","Boeing 747-400","Sweden","Business","San Diego","London","Stockholm","Business Class",5,5,1,5,1,3,3,"no"
"586","Jan-20","Airbus A320","United Kingdom","Couple Leisure","Cape Town",NA,"Johannesburg","Business Class",4,4,4,3,NA,NA,4,"yes"
"587","Dec-19",NA,"Denmark","Solo Leisure","New York","Copenhagen ","London Heathrow","Economy Class",5,5,5,5,1,5,5,"yes"
"588","Jan-20","Boeing 787-9","United States","Business","Phoenix",NA,"London","Business Class",3,5,3,4,NA,4,5,"yes"
"589","Jan-20","Boeing 777-200","United Kingdom","Solo Leisure","London Heathrow",NA,"Bangkok","Economy Class",2,4,4,4,1,1,2,"no"
"590","Jan-20","Boeing 777-200ER","India","Solo Leisure","Mumbai","London","Boston","Economy Class",2,5,1,5,1,2,3,"yes"
"591","Dec-19",NA,"United States","Family Leisure","Orlando",NA,"Accra","Economy Class",1,1,1,1,1,1,1,"no"
"592","Jan-20","Boeing 787","Canada","Solo Leisure","Toronto","London","Geneva","Economy Class",4,5,4,4,NA,3,3,"yes"
"593","Jan-20","Boeing 777-300","United Kingdom","Solo Leisure","Hong Kong",NA,"London","First Class",4,5,4,5,NA,4,4,"yes"
"594","Jan-20","Boeing 787","France","Business","San Jose","London","Amsterdam","Economy Class",1,1,2,2,NA,3,3,"no"
"595","Jan-20","Boeing 777","Singapore","Couple Leisure","Singapore","London","Paris","Business Class",3,4,1,4,NA,4,2,"no"
"596","Jan-20","Airbus A321neo","Poland","Solo Leisure","Warsaw",NA,"London","Economy Class",5,5,4,5,NA,NA,5,"yes"
"597","Jan-20","Boeing 747-400","United Kingdom","Family Leisure","New York ",NA,"London Heathrow","Economy Class",4,5,5,3,NA,4,4,"yes"
"598","Dec-19",NA,"United Kingdom","Family Leisure","London",NA,"Los Angeles","Economy Class",2,1,1,2,1,NA,3,"no"
"599","Jan-20","Boeing 737-800","United Kingdom","Couple Leisure","Johannesburg",NA,"Cape Town","Business Class",3,3,4,3,NA,NA,4,"yes"
"600","Jan-20",NA,"United Kingdom","Business","London",NA,"Bangkok","Business Class",2,1,2,1,NA,NA,2,"no"
"601","Jan-20","Airbus A380","United Kingdom","Couple Leisure","London",NA,"Johannesburg","Business Class",4,4,4,4,2,3,4,"yes"
"602","Dec-19","Boeing 777-200","India","Solo Leisure","Boston","London","Mumbai","Economy Class",2,5,1,4,NA,2,5,"yes"
"603","Jan-20",NA,"United Kingdom","Couple Leisure","Los Angeles",NA,"London","Business Class",1,1,1,1,NA,NA,1,"no"
"604","Jan-20",NA,"United Kingdom","Solo Leisure","Gatwick",NA,"Cancun","Premium Economy",3,1,3,1,1,2,2,"no"
"605","Jan-20","Airbus A320","United Kingdom","Solo Leisure","London Gatwick",NA,"Glasgow","Business Class",4,5,5,4,NA,NA,4,"yes"
"606","Dec-19","Boeing 787-8","United Kingdom","Solo Leisure","Rio De Janeiro",NA,"London Heathrow","Business Class",5,5,4,5,NA,NA,5,"yes"
"607","Jan-20","Airbus A320","United Kingdom","Business","Gatwick",NA,"Tirana","Business Class",1,3,4,2,5,1,2,"yes"
"608","Jan-20","Airbus A320","United Kingdom","Couple Leisure","Keflavik",NA,"London Heathrow","Business Class",3,5,4,5,NA,NA,5,"yes"
"609","Jan-20",NA,"Canada","Couple Leisure","London Heathrow",NA,"Vancouver","Economy Class",1,3,2,1,1,1,1,"no"
"610","Jan-20",NA,"United Kingdom","Couple Leisure","Tokyo",NA,"London Heathrow","Economy Class",2,1,5,1,1,1,1,"no"
"611","Dec-19","Airbus A380","Saint Kitts and Nevis","Couple Leisure","London",NA,"Hong Kong","Business Class",3,4,1,3,NA,4,3,"no"
"612","Jan-20","Boeing 747","United States","Family Leisure","Los Angeles",NA,"London Heathrow","Business Class",1,3,1,2,1,2,1,"no"
"613","Jan-20","Airbus A320","United Kingdom","Solo Leisure","Istanbul",NA,"London","Economy Class",2,2,1,NA,NA,NA,1,"no"
"614","Dec-19",NA,"United Kingdom","Solo Leisure","London",NA,"Bucharest","Economy Class",2,2,1,1,NA,NA,1,"no"
"615","Dec-19","Boeing 787-9","United Kingdom","Solo Leisure","London",NA,"Rio De Janeiro","Business Class",5,5,4,5,2,5,5,"yes"
"616","Dec-19","Airbus A321neo","Greece","Family Leisure","London",NA,"Athens","Economy Class",3,1,3,1,NA,NA,4,"no"
"617","Dec-19",NA,"United Kingdom","Solo Leisure","Copenhagen",NA,"London","Economy Class",2,1,1,1,NA,NA,1,"no"
"618","Dec-19","Airbus A320","Vietnam","Solo Leisure","Budapest","London","Billund","Economy Class",3,3,4,2,NA,1,3,"yes"
"619","Dec-19",NA,"South Africa","Solo Leisure","Cape Town","London","Brussels","Economy Class",3,5,4,4,3,3,4,"yes"
"620","Dec-19","Boeing 777-300ER","Australia","Solo Leisure","Sydney","Singapore","Toulouse","Economy Class",5,5,4,5,1,2,5,"yes"
"621","Oct-19","Airbus A321neo","United Kingdom","Solo Leisure","Sofia",NA,"London","Business Class",3,4,3,4,NA,NA,4,"yes"
"622","Dec-19",NA,"United Kingdom","Couple Leisure","Edinburgh","London Gatwick","Barbados","Business Class",5,5,5,5,NA,5,5,"yes"
"623","Dec-19","Airbus A320","Germany","Solo Leisure","London",NA,"Munich","Economy Class",2,1,1,NA,NA,NA,1,"no"
"624","Dec-19",NA,"United Kingdom","Family Leisure","Hong Kong",NA,"London","Economy Class",NA,NA,NA,NA,NA,NA,2,"no"
"625","Aug-19",NA,"United States","Couple Leisure","London",NA,"Paris","Economy Class",2,2,1,NA,NA,NA,1,"no"
"626","Dec-19","Boeing 777-200","Australia","Business","New York",NA,"London","Economy Class",2,2,5,1,NA,1,5,"no"
"627","Oct-19",NA,"United States","Family Leisure","Austin",NA,"London","Premium Economy",NA,NA,NA,NA,NA,NA,1,"no"
"628","Dec-19",NA,"United Kingdom","Couple Leisure","Frankfurt",NA,"London","Economy Class",1,1,1,1,1,1,1,"no"
"629","Dec-19",NA,"United Kingdom","Solo Leisure","London",NA,"Glasgow","Economy Class",1,1,1,1,1,1,1,"no"
"630","Dec-19","Boeing 747-400","United States","Business","London",NA,"San Francisco ","Business Class",3,5,5,4,5,4,4,"yes"
"631","Dec-19","Airbus A319","United Kingdom","Couple Leisure","Heathrow",NA,"Belfast","Economy Class",2,5,1,5,NA,NA,3,"no"
"632","Oct-19","Airbus A380","Ireland","Solo Leisure","London",NA,"Singapore","Business Class",4,5,5,5,1,1,5,"yes"
"633","Nov-19",NA,"United Kingdom","Business","Toulouse",NA,"London","Economy Class",1,1,3,NA,NA,NA,1,"no"
"634","Nov-19","Airbus A319","Sweden","Solo Leisure","London Heathrow",NA,"Stockholm","Business Class",3,5,5,5,NA,NA,4,"yes"
"635","Nov-19","Airbus A380","United Kingdom","Family Leisure","Johannesburg",NA,"London","Economy Class",1,3,2,3,NA,3,1,"no"
"636","Dec-19","Airbus A380","United Kingdom","Couple Leisure","Johannesburg",NA,"London","Business Class",3,3,3,3,NA,3,4,"yes"
"637","Nov-19","Boeing 747-400","Sweden","Solo Leisure","London Heathrow",NA,"Miami","First Class",4,5,5,5,1,5,5,"yes"
"638","Nov-19","Airbus A319","Sweden","Solo Leisure","Stockholm",NA,"London Heathrow","Business Class",3,5,5,5,NA,NA,4,"yes"
"639","Nov-19","Boeing 777-300","Australia","Couple Leisure","London","Singapore","Sydney","Economy Class",3,4,3,4,NA,2,4,"yes"
"640","Nov-19","Boeing 747-400","United States","Couple Leisure","London",NA,"New York JFK","Business Class",1,4,1,3,NA,1,1,"no"
"641","Dec-19","Boeing 777-200","United Kingdom","Solo Leisure","Gatwick",NA,"Bridgetown","Business Class",3,2,3,3,NA,3,2,"no"
"642","Nov-19","Boeing 777","Belgium","Business","Brussels","London","Bangkok","Business Class",4,2,4,2,NA,3,3,"no"
"643","Nov-19","Boeing 777-200","Norway","Business","San Francisco","London","Oslo","Economy Class",1,2,1,2,NA,NA,1,"no"
"644","Nov-19",NA,"Czech Republic","Couple Leisure","Los Angeles","London","Berlin","Economy Class",3,1,1,NA,NA,NA,1,"no"
"645","Nov-19","Airbus A380","United Kingdom","Couple Leisure","London",NA,"Johannesburg ","Business Class",3,3,3,3,NA,3,3,"yes"
"646","Nov-19",NA,"India","Business","London",NA,"Bangalore","Premium Economy",4,4,2,2,NA,NA,2,"no"
"647","Nov-19",NA,"United Kingdom","Solo Leisure","London","Singapore","Sydney","Economy Class",5,5,5,3,NA,NA,5,"yes"
"648","Nov-19",NA,"United States","Solo Leisure","Lisbon",NA,"London","Economy Class",1,NA,1,NA,NA,NA,1,"no"
"649","Nov-19",NA,"United Kingdom","Solo Leisure","London Heathrow",NA,"Glasgow","Economy Class",4,3,4,NA,NA,NA,2,"no"
"650","Nov-19","Boeing 787-9","Malaysia","Family Leisure","Doha",NA,"londonDoha","Economy Class",5,5,5,4,NA,4,5,"yes"
"651","Nov-19",NA,"United Kingdom","Family Leisure","London",NA,"Buenos Aires","Economy Class",2,3,3,2,1,1,2,"no"
"652","Nov-19","Airbus A380","United Kingdom","Couple Leisure","San Francisco",NA,"London","Economy Class",4,2,3,3,NA,2,3,"no"
"653","Nov-19","Boeing 777-300","Australia","Business","Sydney",NA,"Singapore","Business Class",1,1,2,1,1,1,1,"no"
"654","Nov-19","Boeing 777","United Kingdom","Family Leisure","London",NA,"Mauritius","Economy Class",1,4,1,1,1,1,2,"no"
"655","Nov-19",NA,"Netherlands","Business","Los Angeles","London","Amsterdam","Business Class",5,5,5,5,5,5,5,"yes"
"656","Nov-19","Boeing 747-400","Ireland","Solo Leisure","London",NA,"Vancouver","Economy Class",2,2,2,2,NA,1,3,"no"
"657","Nov-19","Boeing 747-400","Australia","Couple Leisure","New York","London","Paris","Economy Class",1,1,1,1,2,1,1,"no"
"658","Nov-19","Airbus A320","United Kingdom","Couple Leisure","London Heathrow",NA,"Lisbon","Business Class",4,1,5,2,NA,NA,2,"no"
"659","Nov-19","Boeing 777","United Kingdom","Solo Leisure","London",NA,"Boston","Economy Class",4,4,4,4,1,4,3,"yes"
"660","Nov-19","Airbus A320","United Kingdom","Business","Tirana",NA,"London ","Economy Class",4,5,5,3,5,5,5,"yes"
"661","Nov-19","Boeing 747-400","United Kingdom","Solo Leisure","Gatwick",NA,"St Lucia","Economy Class",5,5,5,5,NA,5,5,"yes"
"662","Nov-19",NA,"United Kingdom","Family Leisure","London",NA,"Singapore","Economy Class",4,5,5,4,NA,5,4,"yes"
"663","Nov-19",NA,"United Kingdom","Solo Leisure","London",NA,"San Francisco","Economy Class",1,4,4,3,NA,2,2,"no"
"664","Sep-19","Airbus A320","United Kingdom","Couple Leisure","Gatwick",NA,"Venice","Business Class",4,5,5,4,NA,NA,4,"yes"
"665","Sep-19",NA,"Australia","Couple Leisure","Bordeaux",NA,"Gatwick","Economy Class",NA,NA,NA,NA,NA,NA,1,"no"
"666","Oct-19","Boeing 787-9","United Kingdom","Couple Leisure","Seychelles",NA,"London","Business Class",5,5,4,5,NA,5,5,"yes"
"667","Oct-19","Airbus A320","United Kingdom","Couple Leisure","London",NA,"Belfast","Economy Class",3,2,1,NA,NA,NA,2,"no"
"668","Oct-19",NA,"Canada","Business","London",NA,"Cape Town","Premium Economy",NA,NA,1,NA,NA,NA,1,"no"
"669","Oct-19","Boeing 787","United States","Couple Leisure","San Jose",NA,"London","Business Class",2,4,3,4,NA,1,2,"no"
"670","Oct-19","Airbus A321neo","United Kingdom","Solo Leisure","London Heathrow",NA,"Edinburgh","Economy Class",1,3,3,1,NA,NA,3,"yes"
"671","Oct-19","Boeing 777-200","United Kingdom","Family Leisure","Gatwick",NA,"Barbados","Economy Class",4,4,5,4,5,5,5,"yes"
"672","Oct-19","Boeing 777","Canada","Couple Leisure","Toronto",NA,"London","Economy Class",3,5,5,5,NA,5,5,"yes"
"673","Oct-19",NA,"United Kingdom","Solo Leisure","Jeddah",NA,"London","Economy Class",1,1,1,1,NA,5,1,"no"
"674","Oct-19",NA,"Switzerland","Business","Zurich",NA,"London","Economy Class",1,1,2,NA,NA,NA,3,"no"
"675","Oct-19","Airbus A380","United Kingdom","Couple Leisure","San Francisco",NA,"London","Business Class",5,5,5,5,NA,4,4,"yes"
"676","Oct-19","Airbus A319","United Kingdom","Solo Leisure","London",NA,"Belfast","Business Class",5,5,5,5,NA,NA,5,"yes"
"677","Apr-19",NA,"United Kingdom","Couple Leisure","London Gatwick",NA,"Salzburg ","Economy Class",2,3,2,3,2,2,2,"no"
"678","Oct-19",NA,"Germany","Business","Frankfurt",NA,"London","Economy Class",1,4,1,2,NA,NA,1,"no"
"679","Oct-19",NA,"India","Business","Hyderabad","London","San Francisco","Economy Class",3,5,3,2,NA,3,3,"no"
"680","Oct-19","Boeing 747-400","Switzerland","Business","Vancouver",NA,"London","Business Class",4,1,3,1,NA,4,2,"no"
"681","Oct-19","Airbus A320","United Kingdom","Solo Leisure","London",NA,"Malaga","Economy Class",1,1,1,NA,NA,NA,1,"no"
"682","Oct-19","Airbus A320","United Kingdom","Business","Brussels",NA,"London","Economy Class",4,4,1,NA,NA,NA,2,"no"
"683","Oct-19","Boeing 777","Australia","Couple Leisure","London",NA,"Singapore","Premium Economy",1,1,3,1,NA,NA,1,"no"
"684","Oct-19","Boeing 787","Argentina","Solo Leisure","Kuala Lumpur","London","Glasgow","Premium Economy",5,1,2,2,NA,3,1,"no"
"685","Oct-19","Boeing 787-9","United Kingdom","Couple Leisure","London Heathrow",NA,"Seychelles","Business Class",5,5,5,5,NA,5,5,"yes"
"686","Oct-19",NA,"United States","Couple Leisure","Edinburgh",NA,"London Heathrow","Economy Class",3,3,1,NA,NA,NA,1,"no"
"687","Sep-19","Airbus A321","Jordan","Couple Leisure","Amman",NA,"London","Economy Class",4,4,4,4,NA,4,4,"yes"
"688","Oct-19","Airbus A320","United Kingdom","Business","London",NA,"Athens","Economy Class",3,2,4,NA,NA,NA,2,"no"
"689","Oct-19","Boeing 777","United States","Couple Leisure","New York JFK",NA,"London","Economy Class",1,2,1,1,NA,1,1,"no"
"690","Sep-19","Boeing 777-200","Argentina","Couple Leisure","Buenos Aires",NA,"London Heathrow","Premium Economy",1,3,4,1,NA,1,1,"no"
"691","Sep-19","Boeing 787-9","Mexico","Solo Leisure","Mexico City","London Heathrow","Barcelona","Economy Class",5,4,4,4,NA,4,3,"yes"
"692","Sep-19","Airbus A319","United Kingdom","Couple Leisure","Bari",NA,"London Gatwick","Economy Class",4,5,4,4,NA,NA,5,"yes"
"693","Sep-19","Boeing 787","United Kingdom","Couple Leisure","Abu Dhabi",NA,"London Heathrow","Premium Economy",1,3,4,1,NA,NA,1,"no"
"694","Oct-19","Boeing 787-9","United Kingdom","Couple Leisure","London Heathrow",NA,"Abu Dhabi","Economy Class",5,5,5,5,3,4,4,"yes"
"695","Sep-19",NA,"South Africa","Couple Leisure","Johannesburg","London","Amsterdam","Economy Class",4,5,1,1,2,1,2,"no"
"696","Sep-19","Airbus A350","United Kingdom","Business","Dubai",NA,"London Heathrow","Business Class",5,5,5,5,4,3,4,"yes"
"697","Oct-19",NA,"United States","Solo Leisure","Istanbul","London","New York","Economy Class",3,3,1,3,NA,3,1,"no"
"698","Oct-19",NA,"United Kingdom","Couple Leisure","Rome",NA,"London Heathrow","Economy Class",2,5,5,5,NA,NA,5,"yes"
"699","Oct-19","Airbus A320","United Kingdom","Business","London",NA,"Athens","Economy Class",1,3,1,NA,NA,NA,1,"no"
"700","Oct-19","Airbus A320","United Kingdom","Solo Leisure","London Heathrow",NA,"Newcastle","Economy Class",4,4,5,NA,NA,NA,4,"yes"
"701","Sep-19",NA,"Canada","Solo Leisure","Calgary","London","Gothenburg","Economy Class",1,4,4,3,NA,4,3,"yes"
"702","Oct-19","Boeing 787-9","Malaysia","Family Leisure","Kuala Lumpur",NA,"London","Economy Class",5,5,5,5,NA,5,5,"yes"
"703","Oct-19","Boeing 747","United Kingdom","Couple Leisure","Austin",NA,"London","Business Class",3,3,3,3,NA,NA,4,"yes"
"704","Aug-19","Boeing 787","United Kingdom","Couple Leisure","London",NA,"Kuala Lumpur","Premium Economy",5,4,4,3,4,4,4,"yes"
"705","Oct-19",NA,"United States","Couple Leisure","Newark","London","Madrid","Premium Economy",3,3,3,1,1,3,3,"no"
"706","Oct-19",NA,"United Kingdom","Couple Leisure","Kos",NA,"Gatwick","Business Class",4,3,1,2,2,NA,3,"no"
"707","Sep-19","Airbus A320","United Kingdom","Business","Gatwick",NA,"Alicante","Business Class",5,5,2,5,NA,5,5,"yes"
"708","Sep-19","Airbus A380","United Kingdom","Solo Leisure","Vancouver",NA,"London","Premium Economy",5,5,4,4,NA,4,4,"yes"
"709","Sep-19",NA,"United Kingdom","Couple Leisure","Gatwick",NA,"Alicante","Economy Class",1,3,3,NA,NA,NA,1,"no"
"710","Sep-19","Boeing 747","United Kingdom","Couple Leisure","London Heathrow",NA,"Austin","Business Class",4,5,3,4,NA,2,5,"yes"
"711","Sep-19","Boeing 747","United Kingdom","Couple Leisure","London Heathrow",NA,"Austin","Business Class",4,4,4,4,NA,1,4,"yes"
"712","Sep-19",NA,"United Kingdom","Couple Leisure","London Gatwick",NA,"Jersey","Economy Class",NA,NA,NA,NA,NA,NA,1,"no"
"713","Sep-19","Airbus A320","United Kingdom","Couple Leisure","Cephalonia",NA,"London ","Business Class",3,4,3,4,4,NA,3,"yes"
"714","Aug-19","Airbus A380","Italy","Family Leisure","Chicago","London","Zurich","Economy Class",1,4,1,1,NA,1,3,"no"
"715","Sep-19",NA,"Japan","Solo Leisure","Glasgow",NA,"London","Business Class",4,5,5,5,NA,NA,5,"yes"
"716","Sep-19","Airbus A321","United Kingdom","Solo Leisure","London Heathrow",NA,"Berlin Tegel","Economy Class",5,5,3,3,NA,NA,5,"yes"
"717","Sep-19",NA,"United Kingdom","Couple Leisure","London",NA,"Milan","Business Class",1,1,1,NA,NA,NA,1,"no"
"718","Sep-19","Embraer 190","United Kingdom","Business","London",NA,"Geneva","Economy Class",4,2,4,1,NA,NA,2,"no"
"719","Sep-19",NA,"United States","Couple Leisure","Los Angeles","London","Istanbul","Business Class",2,4,1,1,NA,NA,1,"no"
"720","Aug-19",NA,"United States","Family Leisure","Phoenix","London","Tel Aviv","Premium Economy",3,5,1,3,1,3,1,"no"
"721","Sep-19","Airbus A320","United Kingdom","Couple Leisure","London",NA,"Kefalonia ","Business Class",3,2,3,2,NA,NA,3,"no"
"722","Sep-19",NA,"United States","Solo Leisure","London",NA,"Dublin","Economy Class",2,5,1,NA,NA,NA,3,"no"
"723","Sep-19",NA,"United Kingdom","Couple Leisure","Hong Kong",NA,"London","Business Class",3,4,1,1,NA,1,1,"no"
"724","Sep-19",NA,"United Kingdom","Couple Leisure","Gatwick",NA,"Seville","Economy Class",3,3,1,NA,NA,NA,1,"no"
"725","Sep-19","Boeing 777-200","United Kingdom","Business","London Heathrow",NA,"Abuja Nigeria","Economy Class",3,4,1,1,NA,1,2,"no"
"726","Sep-19","Boeing 777-300","United Kingdom","Solo Leisure","London",NA,"Bangkok","Economy Class",2,3,4,4,NA,1,3,"no"
"727","Aug-19","Boeing 747-400","United Kingdom","Couple Leisure","Belfast","London","San Francisco","Business Class",5,5,5,5,NA,5,5,"yes"
"728","Sep-19","Airbus A319","United Kingdom","Couple Leisure","London",NA,"Gothenburg","Economy Class",4,4,4,NA,NA,NA,4,"yes"
"729","Jul-19",NA,"Switzerland","Family Leisure","Orlando",NA,"Gatwick","Business Class",1,1,1,1,NA,NA,1,"no"
"730","Sep-19","Boeing 787","Sweden","Solo Leisure","Mahe","London ","Stockholm","Business Class",1,2,1,2,NA,4,2,"no"
"731","Sep-19","Airbus A319","United Kingdom","Couple Leisure","Glasgow","London Gatwick","Tampa","Business Class",4,5,5,3,NA,3,4,"yes"
"732","Sep-19","Boeing 777-200","United Kingdom","Family Leisure","Orlando",NA,"Gatwick","Economy Class",2,3,3,1,NA,4,1,"no"
"733","Aug-19","Boeing 787","United Arab Emirates","Family Leisure","London",NA,"Abu Dhabi","Economy Class",3,4,4,5,NA,5,4,"yes"
"734","Aug-19","Airbus A320","United Kingdom","Couple Leisure","London",NA,"St Petersburgh","Business Class",1,3,5,1,NA,NA,1,"no"
"735","May-19","Boeing 777","Australia","Business","Sydney","Singapore","London","Premium Economy",4,2,4,1,3,2,3,"no"
"736","Sep-19","Airbus A380","United States","Couple Leisure","London",NA,"Johannesburg","Business Class",1,1,1,NA,NA,NA,1,"no"
"737","Aug-19",NA,"United Kingdom","Family Leisure","Palma de Mallorca",NA,"London Heathrow","Business Class",1,3,3,2,NA,NA,1,"no"
"738","Aug-19",NA,"United Kingdom","Family Leisure","Chennai",NA,"London","Economy Class",5,5,5,4,NA,4,5,"yes"
